externalSource,externalId,institutionName,address,region,phone,website,institutionType
PUBLIC,INST001,강남구 청소년센터,서울시 강남구 개포로 617,강남구,02-3411-0011,https://www.gnyouth.or.kr,PUBLIC
PUBLIC,INST002,서초구 어린이집연합회,서울시 서초구 서초대로 320,서초구,02-3489-0022,https://seocho.go.kr,PUBLIC
PUBLIC,INST003,송파구 청소년문화센터,서울시 송파구 올림픽로 240,송파구,02-2147-0033,https://spyouth.or.kr,PUBLIC
PUBLIC,INST004,마포구 평생학습관,서울시 마포구 월드컵북로 400,마포구,02-3153-0044,https://mapo.go.kr,PUBLIC
PUBLIC,INST005,노원구 청소년수련관,서울시 노원구 동일로 1406,노원구,02-2091-0055,https://nwyouth.or.kr,PUBLIC
PUBLIC,INST006,은평구 어린이도서관,서울시 은평구 은평로 195,은평구,02-3156-0066,https://ep.go.kr,PUBLIC
PUBLIC,INST007,성동구 청소년센터,서울시 성동구 왕십리로 410,성동구,02-2286-0077,https://sdyouth.or.kr,PUBLIC
PUBLIC,INST008,광진구 청소년수련관,서울시 광진구 능동로 209,광진구,02-450-0088,https://gjyouth.or.kr,PUBLIC
PUBLIC,INST009,중랑구 평생학습센터,서울시 중랑구 봉화산로 179,중랑구,02-2094-0099,https://jnr.go.kr,PUBLIC
PUBLIC,INST010,동대문구 어린이도서관,서울시 동대문구 천호대로 145,동대문구,02-2127-0100,https://ddm.go.kr,PUBLIC
PUBLIC,INST011,도봉구 청소년문화센터,서울시 도봉구 도봉로 552,도봉구,02-3494-0111,https://dbyouth.or.kr,PUBLIC
PUBLIC,INST012,강북구 청소년수련관,서울시 강북구 인수봉로 177,강북구,02-901-0122,https://gbyouth.or.kr,PUBLIC
PUBLIC,INST013,성북구 평생학습관,서울시 성북구 보문로 168,성북구,02-920-0133,https://sb.go.kr,PUBLIC
PUBLIC,INST014,종로구 청소년센터,서울시 종로구 삼일대로 457,종로구,02-2148-0144,https://jryouth.or.kr,PUBLIC
PUBLIC,INST015,중구 어린이도서관,서울시 중구 퇴계로 415,중구,02-3396-0155,https://jg.go.kr,PUBLIC
PUBLIC,INST016,용산구 청소년문화센터,서울시 용산구 이태원로 294,용산구,02-2199-0166,https://ysyouth.or.kr,PUBLIC
PUBLIC,INST017,영등포구 청소년수련관,서울시 영등포구 여의대방로 400,영등포구,02-2670-0177,https://ydpyouth.or.kr,PUBLIC
PUBLIC,INST018,구로구 평생학습센터,서울시 구로구 디지털로 306,구로구,02-860-0188,https://guro.go.kr,PUBLIC
PUBLIC,INST019,금천구 청소년센터,서울시 금천구 시흥대로 73,금천구,02-2627-0199,https://gcyouth.or.kr,PUBLIC
PUBLIC,INST020,관악구 청소년수련관,서울시 관악구 관악로 145,관악구,02-879-0200,https://gwyouth.or.kr,PUBLIC
PUBLIC,INST021,강서구 청소년문화센터,서울시 강서구 강서로 430,강서구,02-2600-0211,https://gsyouth.or.kr,PUBLIC
